name,abbrev,category,metric,value,index
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.006054475,2020-02-04
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,31.170908475,2020-02-05
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.2687125,2020-02-06
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-07
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-08
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,33.737187,2020-02-09
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.2606545,2020-02-10
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.442788475,2020-02-11
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,3.311981725,2020-02-12
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-13
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.3093751114,2020-02-14
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,50.9292627432,2020-02-15
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,15.421533625,2020-02-16
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,44.0016475,2020-02-17
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,31.4696085458,2020-02-18
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-19
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-20
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.9396772333,2020-02-21
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,19.5853147562,2020-02-22
